3.0000e+00 2.5356e-02
3.0000e+00 2.5356e-02
4.0000e+00 3.1276e-02
5.0000e+00 3.8453e-02
6.0000e+00 2.1569e-02
7.0000e+00 2.9336e-02
8.0000e+00 2.5311e-02
9.0000e+00 3.0276e-02
1.0000e+01 2.8992e-02
1.1000e+01 2.5542e-02
1.2000e+01 2.7152e-02
1.3000e+01 3.2233e-02
1.4000e+01 2.7855e-02
1.5000e+01 3.1756e-02
1.6000e+01 3.5874e-02
1.7000e+01 3.5358e-02
1.8000e+01 3.5502e-02
1.9000e+01 3.2192e-02
2.0000e+01 3.7366e-02
2.1000e+01 5.0938e-02
2.2000e+01 3.2942e-02
2.3000e+01 3.6510e-02
2.4000e+01 3.8389e-02
2.5000e+01 3.7836e-02
2.6000e+01 3.7760e-02
2.7000e+01 4.3208e-02
2.8000e+01 3.8589e-02
2.9000e+01 4.1183e-02
3.0000e+01 5.1166e-02
3.1000e+01 4.3132e-02
3.2000e+01 4.1590e-02
3.3000e+01 1.1007e-01
3.4000e+01 8.4505e-02
3.5000e+01 9.9808e-02
3.6000e+01 8.2260e-02
3.7000e+01 1.0724e-01
3.8000e+01 1.0136e-01
3.9000e+01 1.0614e-01
4.0000e+01 1.0803e-01
4.1000e+01 1.0757e-01
4.2000e+01 1.1219e-01
4.3000e+01 1.1998e-01
4.4000e+01 1.1721e-01
4.5000e+01 1.2060e-01
4.6000e+01 1.1844e-01
4.7000e+01 1.2447e-01
4.8000e+01 1.2715e-01
4.9000e+01 1.5553e-01
5.0000e+01 1.9139e-01
5.1000e+01 1.5903e-01
5.2000e+01 1.7971e-01
5.3000e+01 1.7300e-01
5.4000e+01 1.9078e-01
5.5000e+01 1.7612e-01
5.6000e+01 1.8123e-01
5.7000e+01 1.8522e-01
5.8000e+01 1.9137e-01
5.9000e+01 2.1014e-01
6.0000e+01 1.9539e-01
6.1000e+01 1.8234e-01
6.2000e+01 2.0591e-01
6.3000e+01 2.1534e-01
6.4000e+01 1.8925e-01
6.5000e+01 2.5011e-01
6.6000e+01 2.4946e-01
6.7000e+01 2.6021e-01
6.8000e+01 2.4393e-01
6.9000e+01 2.6497e-01
7.0000e+01 2.5160e-01
7.1000e+01 2.7507e-01
7.2000e+01 2.5684e-01
7.3000e+01 2.8575e-01
7.4000e+01 2.8912e-01
7.5000e+01 2.8568e-01
7.6000e+01 2.7773e-01
7.7000e+01 3.0340e-01
7.8000e+01 2.8301e-01
7.9000e+01 3.4513e-01
8.0000e+01 2.8659e-01
8.1000e+01 3.3614e-01
8.2000e+01 3.3532e-01
8.3000e+01 3.4916e-01
8.4000e+01 3.3770e-01
8.5000e+01 3.5749e-01
8.6000e+01 3.7531e-01
8.7000e+01 3.6549e-01
8.8000e+01 3.7528e-01
8.9000e+01 3.9021e-01
9.0000e+01 4.0923e-01
9.1000e+01 4.0226e-01
9.2000e+01 4.1770e-01
9.3000e+01 4.0436e-01
9.4000e+01 4.0088e-01
9.5000e+01 3.9929e-01
9.6000e+01 4.1302e-01
9.7000e+01 4.5475e-01
9.8000e+01 4.7546e-01
9.9000e+01 5.3145e-01
1.0000e+02 4.5392e-01
1.0100e+02 5.1175e-01
1.0200e+02 5.4197e-01
