3.0000e+00 2.1240e-03 7.9230e-03 1.2016e-02 1.8852e-02 8.1400e-04 1.4410e-03
3.0000e+00 2.1240e-03 7.9230e-03 1.2016e-02 1.8852e-02 8.1400e-04 1.4410e-03
4.0000e+00 4.2290e-03 1.9801e-02 2.6073e-02 4.7694e-02 1.5740e-03 6.5400e-04
5.0000e+00 9.4430e-03 5.0925e-02 6.1652e-02 9.0800e-02 4.4320e-03 5.5300e-04
6.0000e+00 3.2907e-02 1.5668e-01 2.0308e-01 3.0884e-01 1.4116e-02 6.1700e-04
7.0000e+00 4.7948e-02 2.1237e-01 2.5834e-01 3.2366e-01 1.1325e-02 5.7300e-04
8.0000e+00 5.0867e-02 1.7988e-01 2.5763e-01 4.3867e-01 2.6509e-02 6.2200e-04
9.0000e+00 3.2841e-01 4.5512e-01 6.5792e-01 1.2862e+00 6.5864e-02 6.3100e-04
1.0000e+01 1.3388e+00 1.3954e+00 2.0563e+00 3.6157e+00 2.5370e-01 6.5800e-04
1.1000e+01 6.7402e+00 5.4777e+00 8.0737e+00 1.3405e+01 1.4459e+00 6.8700e-04
