3.0000e+00 1.6525e-02 2.7809e-02 3.1643e-02 5.7112e-02 1.5645e-01 1.4994e-01 6.9550e-03 2.5710e-03
3.0000e+00 1.6525e-02 2.7809e-02 3.1643e-02 5.7112e-02 1.5645e-01 1.4994e-01 6.9550e-03 2.5710e-03
4.0000e+00 1.6291e-02 2.5078e-02 3.5227e-02 6.0942e-02 1.5623e-01 1.4476e-01 9.1420e-03 7.6100e-04
5.0000e+00 1.6318e-02 3.3176e-02 2.5867e-02 5.2427e-02 1.3341e-01 1.4682e-01 7.2450e-03 4.8600e-04
6.0000e+00 1.4615e-02 2.6652e-02 2.4419e-02 4.7648e-02 1.3794e-01 1.6904e-01 6.7410e-03 5.2800e-04
7.0000e+00 1.9385e-02 2.9094e-02 2.8811e-02 5.5051e-02 1.3552e-01 1.5800e-01 6.7610e-03 5.3800e-04
8.0000e+00 2.0485e-02 3.1808e-02 3.5202e-02 6.5303e-02 1.5843e-01 1.2828e-01 7.2540e-03 6.2200e-04
9.0000e+00 2.3173e-02 4.1877e-02 3.0416e-02 5.8337e-02 1.3693e-01 1.6794e-01 1.3666e-02 6.0800e-04
1.0000e+01 2.2093e-02 3.8616e-02 3.1494e-02 5.6071e-02 1.9704e-01 2.1673e-01 1.0941e-02 5.5700e-04
1.1000e+01 2.3484e-02 3.3130e-02 3.1507e-02 5.7528e-02 1.4633e-01 1.4614e-01 1.5270e-02 5.5000e-04
1.2000e+01 1.8840e-02 3.1046e-02 2.7800e-02 6.3008e-02 1.4405e-01 1.6181e-01 9.0200e-03 6.4600e-04
1.3000e+01 2.0961e-02 3.5140e-02 3.1631e-02 5.9667e-02 1.9266e-01 1.5336e-01 1.2458e-02 5.5500e-04
1.4000e+01 2.0356e-02 3.2412e-02 3.8802e-02 6.6777e-02 1.6354e-01 1.6548e-01 9.1430e-03 5.5400e-04
1.5000e+01 2.2467e-02 3.5358e-02 2.9240e-02 6.1366e-02 1.6954e-01 1.6317e-01 8.8900e-03 5.6700e-04
1.6000e+01 2.7640e-02 3.9051e-02 3.1693e-02 6.4992e-02 1.7635e-01 1.6079e-01 1.4336e-02 5.6400e-04
1.7000e+01 2.5252e-02 3.7699e-02 2.6971e-02 6.2064e-02 1.7579e-01 1.9854e-01 1.1596e-02 5.6300e-04
1.8000e+01 2.1773e-02 3.5898e-02 3.2274e-02 6.7621e-02 1.7614e-01 1.9493e-01 1.2775e-02 5.5200e-04
1.9000e+01 2.6034e-02 3.7288e-02 2.6486e-02 6.2029e-02 1.7381e-01 1.9660e-01 1.1197e-02 5.7100e-04
2.0000e+01 2.3610e-02 3.8563e-02 2.8229e-02 6.5659e-02 2.0902e-01 2.0023e-01 1.2242e-02 5.7200e-04
2.1000e+01 2.5160e-02 3.8194e-02 2.8984e-02 6.3992e-02 1.9854e-01 1.9085e-01 1.1338e-02 5.6400e-04
